STT	Phân Loại	Mã VTBB/NL	Tên VTBB/NL	Tên Trên Hóa Đơn VTBB/NL	Mã HH	Tên Sản phẩm (HH)
2795	Nhãn	NTN2152	[Nhãn] GC - IV - 2152 - CTY ECO - BORER KILLER (Bột trắng) - 100gr - 100	SHA CHONG JING 95WP	HH2152	GC - IV - 2152 - CTY ECO - BORER KILLER (Bột trắng) - 100gr - 100
2796	Nhãn thùng	NDT2152	[Nhãn thùng] GC - IV - 2152 - CTY ECO - BORER KILLER (Bột trắng) - 100gr - 100	SHA CHONG JING 95WP	HH2152	GC - IV - 2152 - CTY ECO - BORER KILLER (Bột trắng) - 100gr - 100
2797	Nhãn	NHG2153	[Nhãn] GC - IV - 2153 - CTY ECO - BEST MITE (Nước trắng sữa) - 240ml - 40	SPIRO 240SC	HH2153	GC - IV - 2153 - CTY ECO - BEST MITE (Nước trắng sữa) - 240ml - 40
2798	Nhãn	NHG2154	[Nhãn] GC - IV - 2154 - CTY ECO - HOPPER 550 (Nước tím) - 250ml - 40	Thipro 550EC	HH2154	GC - IV - 2154 - CTY ECO - HOPPER 550 (Nước tím) - 250ml - 40
2799	Nhãn	NHG2155	[Nhãn] GC - IV - 2155 - CTY ECO - FUNGAL EXTRA (Nước cam sữa) - 240ml - 40	VATINO SUPER 525SE	HH2155	GC - IV - 2155 - CTY ECO - FUNGAL EXTRA (Nước cam sữa) - 240ml - 40
2800	Nhãn	NHG2156	[Nhãn] GC - IV - 2156 - Cty Sen Hồng (A.Diễn) - VUA DIỆT RẦY SH (Nước tím) - 250ml - 40	Thipro 550EC	HH2156	GC - IV - 2156 - Cty Sen Hồng (A.Diễn) - VUA DIỆT RẦY SH (Nước tím) - 250ml - 40
2801	Nhãn	NHG2157	[Nhãn] GC - IV - 2157 - CTY NÔNG HÓA XANH - SIÊU CHẶN ĐỌT (Nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH2157	GC - IV - 2157 - CTY NÔNG HÓA XANH - SIÊU CHẶN ĐỌT (Nước nâu đen) - 1L - 20
2802	Nhãn	NTN2158	[Nhãn] NB - K - 2158 - Cty Nông Dược Thụy Sĩ - Siêu cứng cây - 1kg -20	VINFER 01	HH2158	NB - K - 2158 - Cty Nông Dược Thụy Sĩ - Siêu cứng cây - 1kg -20
2803	Nhãn	NTN2159	[Nhãn] GC - IV - 2159 - Agriplant - Thalonil 75WWP - 100gr - 100	THALONIL 75WP	HH2159	GC - IV - 2159 - Agriplant - Thalonil 75WWP - 100gr - 100
2804	Nhãn thùng	NDT2159	[Nhãn thùng] GC - IV - 2159 - Agriplant - Thalonil 75WWP - 100gr - 100	THALONIL 75WP	HH2159	GC - IV - 2159 - Agriplant - Thalonil 75WWP - 100gr - 100
2805	Nhãn	NHG2160	[Nhãn] LOT IDA Global - I - 2160 - An Phát Nông - Calcibor (Nước vàng) - 500ml - 40	Vi lượng Run Fast	HH2160	LOT IDA Global - I - 2160 - An Phát Nông - Calcibor (Nước vàng) - 500ml - 40
2806	Nhãn	NTN2161	[Nhãn]  GC - IV - 2161 - Cty Thiên Di (A Thành Dol) - Mancozeb xanh (bột xanh) - 100gr - 100	MANCOBGO 80WP	HH2161	 GC - IV - 2161 - Cty Thiên Di (A Thành Dol) - Mancozeb xanh (bột xanh) - 100gr - 100
2807	Nhãn thùng	NDT2161	[Nhãn thùng]  GC - IV - 2161 - Cty Thiên Di (A Thành Dol) - Mancozeb xanh (bột xanh) - 100gr - 100	MANCOBGO 80WP	HH2161	 GC - IV - 2161 - Cty Thiên Di (A Thành Dol) - Mancozeb xanh (bột xanh) - 100gr - 100
2808	Nhãn	NHG2163	[Nhãn] GC - II - 2163 - CTY VIỆT Á - PHÂN BÓN VI LƯỢNG AGAMA-SUPPORT (Nước trong) - 100ml - 100	Vi lượng AGAMA-SUPPORT	HH2163	GC - II - 2163 - CTY VIỆT Á - PHÂN BÓN VI LƯỢNG AGAMA-SUPPORT (Nước trong) - 100ml - 100
2809	Nhãn thùng	NDT2163	[Nhãn thùng] GC - II - 2163 - CTY VIỆT Á - PHÂN BÓN VI LƯỢNG AGAMA-SUPPORT (Nước trong) - 100ml - 100	Vi lượng AGAMA-SUPPORT	HH2163	GC - II - 2163 - CTY VIỆT Á - PHÂN BÓN VI LƯỢNG AGAMA-SUPPORT (Nước trong) - 100ml - 100
2810	Nhãn	NHG2164	[Nhãn] GC - IV - 2164 - Cty Bellormar - FEDAI (Nước đỏ) - 250ml - 40	CHIM ƯNG 3.8EC	HH2164	GC - IV - 2164 - Cty Bellormar - FEDAI (Nước đỏ) - 250ml - 40
2811	Nhãn	NHG2165	[Nhãn] GC - IV - 2165 - CTY DONA VINA - CHIM ƯNG 3.8 EC (Nước đỏ) - 250ml - 40	CHIM ƯNG 3.8EC	HH2165	GC - IV - 2165 - CTY DONA VINA - CHIM ƯNG 3.8 EC (Nước đỏ) - 250ml - 40
2812	Nhãn	NHG2166	[Nhãn] GC - IV - 2166 - CTY DONA VINA - THIPRO 550EC (Nước tím) - 250ml - 40	Thipro 550EC	HH2166	GC - IV - 2166 - CTY DONA VINA - THIPRO 550EC (Nước tím) - 250ml - 40
2813	Nhãn	NHD2167	[Nhãn] BAMBOO - I - 2167 - Bamboo Double Stop (nước nâu đen) - 5L - 4	Vi lượng Quantity New	HH2167	BAMBOO - I - 2167 - Bamboo Double Stop (nước nâu đen) - 5L - 4
2814	Nhãn thùng	NDT2167	[Nhãn thùng] BAMBOO - I - 2167 - Bamboo Double Stop (nước nâu đen) - 5L - 4	Vi lượng Quantity New	HH2167	BAMBOO - I - 2167 - Bamboo Double Stop (nước nâu đen) - 5L - 4
2815	Nhãn	NHG2168	[Nhãn] GC - IV - 2168 - Cty VNT Mekong - Trâu Đỏ (nước đỏ) - 450ml - 40	Asupergras 200SL	HH2168	GC - IV - 2168 - Cty VNT Mekong - Trâu Đỏ (nước đỏ) - 450ml - 40
2816	Nhãn	NHG2169	[Nhãn] GC - IV - 2169 - THÀNH CÔNG AGRI - DIỆT NHỆN THÀNH CÔNG (Nước xanh lá) - 450ml - 40	Chitin 3.6EC	HH2169	GC - IV - 2169 - THÀNH CÔNG AGRI - DIỆT NHỆN THÀNH CÔNG (Nước xanh lá) - 450ml - 40
2817	Nhãn	NHG2170	[Nhãn] NB - I - 2170- Nông Dược Thụy Sĩ -Vô Gạo Hữu Cơ- 500ml - 40	VINFER 01	HH2170	NB - I - 2170- Nông Dược Thụy Sĩ -Vô Gạo Hữu Cơ- 500ml - 40
2818	Nhãn	NHG2171	[Nhãn] NB - I - 2171- Nông Dược Thụy Sĩ -KALI Sữa- 500ml - 40	VINFER 01	HH2171	NB - I - 2171- Nông Dược Thụy Sĩ -KALI Sữa- 500ml - 40
2819	Nhãn	NHG2172	[Nhãn] IDA Global - I - 2172 - MƯỜI CHÀ - NUÔI ĐÒNG SỐ 1 (Nước trắng sữa) - 450ml - 40	Vi lượng Basel IDA 47	HH2172	IDA Global - I - 2172 - MƯỜI CHÀ - NUÔI ĐÒNG SỐ 1 (Nước trắng sữa) - 450ml - 40
2820	Nhãn	NHG2173	[Nhãn] IDA Global - I - 2173 - MƯỜI CHÀ - SIÊU NỞ BỤI (Nước tím) - 450ml - 40	NPK-vi lượng BASEL NPK 6-6-8 IDA 33	HH2173	IDA Global - I - 2173 - MƯỜI CHÀ - SIÊU NỞ BỤI (Nước tím) - 450ml - 40
2821	Nhãn	NTN2174	[Nhãn] GC - IV - Agritech - 2174 - KHONGRAY 54WP (Bột trắng ngà) - 100gr - 100	KHONGRAY 54WP	HH2174	GC - IV - Agritech - 2174 - KHONGRAY 54WP (Bột trắng ngà) - 100gr - 100
2822	Nhãn thùng	NDT2174	[Nhãn thùng] GC - IV - Agritech - 2174 - KHONGRAY 54WP (Bột trắng ngà) - 100gr - 100	KHONGRAY 54WP	HH2174	GC - IV - Agritech - 2174 - KHONGRAY 54WP (Bột trắng ngà) - 100gr - 100
2823	Nhãn	NHG2175	[Nhãn] GC - IV - 2175 - CTY HÓA CHẤT NÔNG NGHIỆP MIỀN NAM (HITACO) - RICE EXTRA (Nước đỏ) - 500ml - 40	Hữu Cơ PA ORGANIC 	HH2175	GC - IV - 2175 - CTY HÓA CHẤT NÔNG NGHIỆP MIỀN NAM (HITACO) - RICE EXTRA (Nước đỏ) - 500ml - 40
2824	Nhãn	NHG2176	[Nhãn] GC - IV - 2176 - KATO JAPAN - TOP PLUS T86 (Nước vàng) - 240ml - 40	MITOP ONE 390SC	HH2176	GC - IV - 2176 - KATO JAPAN - TOP PLUS T86 (Nước vàng) - 240ml - 40
2825	Nhãn	NHG2178	[Nhãn] GC - IV - 2178 - CTY ECO - ECO STOP.BUD (Nước nâu đen) - 500ml - 40	Vi lượng Quantity New	HH2178	GC - IV - 2178 - CTY ECO - ECO STOP.BUD (Nước nâu đen) - 500ml - 40
2826	Nhãn	NHG2179	[Nhãn] GC - IV - 2179 - CTY ECO - ECO FEED.FRUIT (Nước nâu đen) - 500ml - 40	Vi lượng Quantity New	HH2179	GC - IV - 2179 - CTY ECO - ECO FEED.FRUIT (Nước nâu đen) - 500ml - 40
2827	Nhãn	NHG2180	[Nhãn] GC - IV - 2180 - CTY ECO - ECO STOP.DROP (Nước nâu đen) - 500ml - 40	Vi lượng Quantity New	HH2180	GC - IV - 2180 - CTY ECO - ECO STOP.DROP (Nước nâu đen) - 500ml - 40
2828	Nhãn	NHG2181	[Nhãn] GC - IV - 2181 - CTY ECO - ECO TUG.BUD (Nước nâu đen) - 500ml - 40	vi lượng HELP FARMER_3	HH2181	GC - IV - 2181 - CTY ECO - ECO TUG.BUD (Nước nâu đen) - 500ml - 40
2829	Nhãn	NHG2182	[Nhãn] GC - IV - 2182 - CTY ECO - ECO TOP.BOCAXX (Nước đỏ cam) - 500ml - 40	Vi lượng Run Fast	HH2182	GC - IV - 2182 - CTY ECO - ECO TOP.BOCAXX (Nước đỏ cam) - 500ml - 40
2830	HỘP	HOP2184	[HOP] IDA Global - I - 2184 -  PHOPPAWAY 80WG (Bột trắng) - 16gr - 200	PHOPPAWAY 80WG	HH2184	IDA Global - I - 2184 -  PHOPPAWAY 80WG (Bột trắng) - 16gr - 200
2831	Nhãn	NTN2184	[Nhãn] IDA Global - I - 2184 -  PHOPPAWAY 80WG (Bột trắng) - 16gr - 200	PHOPPAWAY 80WG	HH2184	IDA Global - I - 2184 -  PHOPPAWAY 80WG (Bột trắng) - 16gr - 200
2832	Nhãn	NDT2184	[Nhãn] IDA Global - I - 2184 -  PHOPPAWAY 80WG (Bột trắng) - 16gr - 200	PHOPPAWAY 80WG	HH2184	IDA Global - I - 2184 -  PHOPPAWAY 80WG (Bột trắng) - 16gr - 200
2833	Nhãn	NHG2185	[Nhãn] GC - IV - 2185 - Agritech - Hexavil (Nước trắng sữa) - 1L - 20	Mekongvil 5SC	HH2185	GC - IV - 2185 - Agritech - Hexavil (Nước trắng sữa) - 1L - 20
2834	Nhãn	NHG2186	[Nhãn] GC - IV - 2186 - Agritech - TECH-NO 525 (Nước cam sữa) - 240ml - 40	VATINO SUPER 525SE	HH2186	GC - IV - 2186 - Agritech - TECH-NO 525 (Nước cam sữa) - 240ml - 40
2835	Nhãn	NTN2187	[Nhãn] LOT IDA Global - I - 2187 - ĐL Hai Nhóm - Mancozeb xanh (bột xanh) - 1kg - 20	MANCOBGO 80WP	HH2187	LOT IDA Global - I - 2187 - ĐL Hai Nhóm - Mancozeb xanh (bột xanh) - 1kg - 20
2836	Nhãn thùng	NDT2187	[Nhãn thùng] LOT IDA Global - I - 2187 - ĐL Hai Nhóm - Mancozeb xanh (bột xanh) - 1kg - 20	MANCOBGO 80WP	HH2187	LOT IDA Global - I - 2187 - ĐL Hai Nhóm - Mancozeb xanh (bột xanh) - 1kg - 20
2837	Nhãn	NHG2188	[Nhãn] GC - IV - 2188 - CTY AGRITECH - NOFARA 350SC (Nước trắng sữa) - 240ml - 40	NOFARA 350SC	HH2188	GC - IV - 2188 - CTY AGRITECH - NOFARA 350SC (Nước trắng sữa) - 240ml - 40
2838	Nhãn	NHG2189	[Nhãn] GC - IV - 2189 - CTY NHC - VUA RẦY BOTRI - R.EP (Nước tím) - 250ml - 40	Thipro 550EC	HH2189	GC - IV - 2189 - CTY NHC - VUA RẦY BOTRI - R.EP (Nước tím) - 250ml - 40
2839	Nhãn	NTN2190	[Nhãn] GC - IV - 2190 - THẢO NGUYÊN - PIM.PIM 75WP (Bột cam) - 25gr - 400	Pim.Pim 75WP	HH2190	GC - IV - 2190 - THẢO NGUYÊN - PIM.PIM 75WP (Bột cam) - 25gr - 400
2840	Nhãn thùng	NDT2190	[Nhãn thùng] GC - IV - 2190 - THẢO NGUYÊN - PIM.PIM 75WP (Bột cam) - 25gr - 400	Pim.Pim 75WP	HH2190	GC - IV - 2190 - THẢO NGUYÊN - PIM.PIM 75WP (Bột cam) - 25gr - 400
2841	Nhãn	NHG2191	[Nhãn] GC - IV - 2191 - Cty Hóa Nông Shino - BIM SHINO (Nước cam sữa) - 500ml - 30	AMILAN 300SC	HH2191	GC - IV - 2191 - Cty Hóa Nông Shino - BIM SHINO (Nước cam sữa) - 500ml - 30
2842	Nhãn	NHG2192	[Nhãn] GC - IV - 2192 - CTY SEIKO NHẬT BẢN - AMILAN 300SC (Nước cam sữa) - 450ml - 40	AMILAN 300SC	HH2192	GC - IV - 2192 - CTY SEIKO NHẬT BẢN - AMILAN 300SC (Nước cam sữa) - 450ml - 40
2843	Nhãn	NTN2193	[Nhãn] GC - IV - 2193 - Cty Newtex - BIẾN VÀNG THÀNH XANH (Bột xanh) - 50gr - 200	FORTAZEB 72WP	HH2193	GC - IV - 2193 - Cty Newtex - BIẾN VÀNG THÀNH XANH (Bột xanh) - 50gr - 200
2844	Nhãn thùng	NDT2193	[Nhãn thùng] GC - IV - 2193 - Cty Newtex - BIẾN VÀNG THÀNH XANH (Bột xanh) - 50gr - 200	FORTAZEB 72WP	HH2193	GC - IV - 2193 - Cty Newtex - BIẾN VÀNG THÀNH XANH (Bột xanh) - 50gr - 200
2845	Nhãn	NHG2194	[Nhãn] GC - IV - 2194 - CTY VIN AG - TORNADO 250 (Nước đỏ) - 240ml - 40	X-SPIDER 25EC 	HH2194	GC - IV - 2194 - CTY VIN AG - TORNADO 250 (Nước đỏ) - 240ml - 40
2846	Nhãn	NHG2195	[Nhãn] GC - IV - 2195 - CTY VIN AG - GOD THUNDER 260 (Dạng sữa - vàng nhạt) - 240ml - 40	HALO 260SC	HH2195	GC - IV - 2195 - CTY VIN AG - GOD THUNDER 260 (Dạng sữa - vàng nhạt) - 240ml - 40
2847	Nhãn	NHG2196	[Nhãn] GC - IV - 2196 - CTY ECO - HD LION 250 (Nước đỏ) - 240ml - 40	X-SPIDER 25EC 	HH2196	GC - IV - 2196 - CTY ECO - HD LION 250 (Nước đỏ) - 240ml - 40
2848	Nhãn	NHG2197	[Nhãn] GC - IV - 2197 - CTY ECO - DIỆT BÁCH TRÙNG (Dạng sữa - vàng nhạt) - 240ml - 40	HALO 260SC	HH2197	GC - IV - 2197 - CTY ECO - DIỆT BÁCH TRÙNG (Dạng sữa - vàng nhạt) - 240ml - 40
2849	Nhãn	NHG2198	[Nhãn] GC - IV - 2198 - Cty Hóa Nông Shino - SHINO ROOTS (Nước xanh lá) - 500ml - 30	Hữu cơ SH Agro Organic Fertilizer 20	HH2198	GC - IV - 2198 - Cty Hóa Nông Shino - SHINO ROOTS (Nước xanh lá) - 500ml - 30
2850	Nhãn	NHD2198	[Nhãn] GC - IV - 2198 - Cty Hóa Nông Shino - SHINO ROOTS (Nước xanh lá) - 500ml - 30	Hữu cơ SH Agro Organic Fertilizer 20	HH2198	GC - IV - 2198 - Cty Hóa Nông Shino - SHINO ROOTS (Nước xanh lá) - 500ml - 30
2851	Nhãn	NTN2199	[Nhãn] GC - I - 2199 - Cty Nông Dược Sunrise - Manco Sunrise (Bột xanh) - 1kg - 20	MANCOBGO 80WP	HH2199	GC - I - 2199 - Cty Nông Dược Sunrise - Manco Sunrise (Bột xanh) - 1kg - 20
2852	Nhãn	NTN2200	[Nhãn] LOT IDA Global - I - 2200 - Mancozeb Xanh (Bột xanh) - 1kg - 20	MANCOBGO 80WP	HH2200	LOT IDA Global - I - 2200 - Mancozeb Xanh (Bột xanh) - 1kg - 20
2853	Nhãn thùng	NDT2200	[Nhãn thùng] LOT IDA Global - I - 2200 - Mancozeb Xanh (Bột xanh) - 1kg - 20	MANCOBGO 80WP	HH2200	LOT IDA Global - I - 2200 - Mancozeb Xanh (Bột xanh) - 1kg - 20
2854	Nhãn	NTN2201	[Nhãn] GC - IV - 2201 - MANCO GREEN (Bột xanh) - 1kg - 20	MANCOBGO 80WP	HH2201	GC - IV - 2201 - MANCO GREEN (Bột xanh) - 1kg - 20
2855	Nhãn thùng	NDT2201	[Nhãn thùng] GC - IV - 2201 - MANCO GREEN (Bột xanh) - 1kg - 20	MANCOBGO 80WP	HH2201	GC - IV - 2201 - MANCO GREEN (Bột xanh) - 1kg - 20
2856	Nhãn	NHD2202	[Nhãn] GC - IV - 2202 - CTY GREAT UNITY - SELEC ONE 550 (Nước vàng trà) - 100ml - 100	Thipro 550EC	HH2202	GC - IV - 2202 - CTY GREAT UNITY - SELEC ONE 550 (Nước vàng trà) - 100ml - 100
2857	Nhãn	NHG2203	[Nhãn] GC - IV - 2203 - CTY NÔNG HÓA XANH - XANHVIL (Nước trắng sữa) - 1L - 20	Mekongvil 5SC	HH2203	GC - IV - 2203 - CTY NÔNG HÓA XANH - XANHVIL (Nước trắng sữa) - 1L - 20
2858	Nhãn	NHG2204	[Nhãn] GC - II - 2204 - AGC (TÂY NGUYÊN) - OPEN XTRA 44L (Nước vàng) - 120ml - 50	Vi lượng Quantity New	HH2204	GC - II - 2204 - AGC (TÂY NGUYÊN) - OPEN XTRA 44L (Nước vàng) - 120ml - 50
2859	Nhãn	NHG2205	[Nhãn] GC - IV - 2205 - GNH - Siêu tăng trưởng (nước nâu đen) - 1L - 20	Vi lượng Basel VA01	HH2205	GC - IV - 2205 - GNH - Siêu tăng trưởng (nước nâu đen) - 1L - 20
2860	Nhãn	NHG2206	[Nhãn] GC - IV - 2206 - CTY USAFARM - KING C.A.T (Nước nâu đen) - 100ml - 50	Hữu cơ SH Agro Organic Fertilizer 20	HH2206	GC - IV - 2206 - CTY USAFARM - KING C.A.T (Nước nâu đen) - 100ml - 50
2861	Nhãn	NHG2207	[Nhãn] GC - IV - 2207 - Cty Thiên Di (A Thành Dol) - ATOMIN 15WP (Bột trắng ngà) - 1kg - 20	ATOMIN 15WP	HH2207	GC - IV - 2207 - Cty Thiên Di (A Thành Dol) - ATOMIN 15WP (Bột trắng ngà) - 1kg - 20
2862	Nhãn	NHP2207	[Nhãn] GC - IV - 2207 - Cty Thiên Di (A Thành Dol) - ATOMIN 15WP (Bột trắng ngà) - 1kg - 20	ATOMIN 15WP	HH2207	GC - IV - 2207 - Cty Thiên Di (A Thành Dol) - ATOMIN 15WP (Bột trắng ngà) - 1kg - 20
2863	Nhãn thùng	NDT2207	[Nhãn thùng] GC - IV - 2207 - Cty Thiên Di (A Thành Dol) - ATOMIN 15WP (Bột trắng ngà) - 1kg - 20	ATOMIN 15WP	HH2207	GC - IV - 2207 - Cty Thiên Di (A Thành Dol) - ATOMIN 15WP (Bột trắng ngà) - 1kg - 20
2864	Nhãn	NHG2208	[Nhãn] GC - IV - 2208 - THÀNH CÔNG AGRI - MITOP ONE 390SC (Nước vàng) - 250ml - 40	MITOP ONE 390SC	HH2208	GC - IV - 2208 - THÀNH CÔNG AGRI - MITOP ONE 390SC (Nước vàng) - 250ml - 40
2865	Nhãn	NHG2209	[Nhãn] GC - IV - 2209 - THÀNH CÔNG AGRI - VATINO SUPER 525SE (Nước cam sữa) - 250ml - 40	VATINO SUPER 525SE	HH2209	GC - IV - 2209 - THÀNH CÔNG AGRI - VATINO SUPER 525SE (Nước cam sữa) - 250ml - 40
2866	Nhãn	NHG2210	[Nhãn] GC - IV - 2210 - THÀNH CÔNG AGRI - YAPOKO 250SC (Nước trắng sữa) - 240ml - 40	YAPOKO 250SC	HH2210	GC - IV - 2210 - THÀNH CÔNG AGRI - YAPOKO 250SC (Nước trắng sữa) - 240ml - 40
2867	Nhãn	NHG2211	[Nhãn] GC - IV - 2211 - THÀNH CÔNG AGRI - NANO VÔ GẠO (Nước đỏ) - 500ml - 30	Vi lượng Quantity New	HH2211	GC - IV - 2211 - THÀNH CÔNG AGRI - NANO VÔ GẠO (Nước đỏ) - 500ml - 30
2868	Nhãn	NHG2212	[Nhãn] GC - IV - 2212 - THÀNH CÔNG AGRI - FU STOP (Gel nâu đen) - 500ml - 30	Vi lượng Quantity New	HH2212	GC - IV - 2212 - THÀNH CÔNG AGRI - FU STOP (Gel nâu đen) - 500ml - 30
2869	Nhãn	NHG2213	[Nhãn] GC - IV - 2213 - Agritech - Hexavil - 1L - 20	Mekongvil 5SC	HH2213	GC - IV - 2213 - Agritech - Hexavil - 1L - 20
2870	Nhãn	NHG2214	[Nhãn] GC - IV - 2214 - ĐL PHONG HẢI - SANTO VIN (Nước hồng) - 1L - 20	Mekongvil 5SC	HH2214	GC - IV - 2214 - ĐL PHONG HẢI - SANTO VIN (Nước hồng) - 1L - 20
2871	Nhãn	NHG2215	[Nhãn] GC - IV - 2215 - CTY ECO - ECO SUPER.GROW (Nước xanh lá) - 100ml - 100	Vi lượng AGAMA-SUPPORT	HH2215	GC - IV - 2215 - CTY ECO - ECO SUPER.GROW (Nước xanh lá) - 100ml - 100
2872	Nhãn	NHG2216	[Nhãn] GC - IV - 2216 - CTY VIN AG - BEST TEPHON (Nước xanh lá) - 100ml - 100	Vi lượng AGAMA-SUPPORT	HH2216	GC - IV - 2216 - CTY VIN AG - BEST TEPHON (Nước xanh lá) - 100ml - 100
2873	Nhãn	NTN2217	"[Nhãn] GC - IV - 2217 - Cty NHP Group - ĐẠI BÀNG XANH (dạng cốm màu trắng ngà) - 50gr - 100
"	MAKEGREEN 55WG	HH2217	"GC - IV - 2217 - Cty NHP Group - ĐẠI BÀNG XANH (dạng cốm màu trắng ngà) - 50gr - 100
"
2874	Nhãn thùng	NDT2217	[Nhãn thùng] GC - IV - 2217 - Cty NHP Group - ĐẠI BÀNG XANH (dạng cốm màu trắng ngà) - 50gr - 100	MAKEGREEN 55WG	HH2217	"GC - IV - 2217 - Cty NHP Group - ĐẠI BÀNG XANH (dạng cốm màu trắng ngà) - 50gr - 100
"
2875	Nhãn	NHG2218	[Nhãn] GC - IV - 2218 - GNH - MK936 (nước nâu đen) - 450ml - 40	HAIHAMEC 3.6EC	HH2218	GC - IV - 2218 - GNH - MK936 (nước nâu đen) - 450ml - 40
2876	Nhãn	NHD2219	[Nhãn] IDA Global - I - 2219 - ĐL PHAN THANH BƯỜN - AVERMECTIN (Nước nâu đen) - 450ml - 40	Chitin 3.6EC	HH2219	IDA Global - I - 2219 - ĐL PHAN THANH BƯỜN - AVERMECTIN (Nước nâu đen) - 450ml - 40
2877	Nhãn thùng	NDT2219	[Nhãn thùng] IDA Global - I - 2219 - ĐL PHAN THANH BƯỜN - AVERMECTIN (Nước nâu đen) - 450ml - 40	Chitin 3.6EC	HH2219	IDA Global - I - 2219 - ĐL PHAN THANH BƯỜN - AVERMECTIN (Nước nâu đen) - 450ml - 40
2878	Nhãn	NHD2221	[Nhãn] GC - IV - 2221 - Thiên Di - Ema 21 Gold (nước vàng trà) - 450ml - 40
	Creek 2.1EC	HH2221	GC - IV - 2221 - Thiên Di - Ema 21 Gold (nước vàng trà) - 450ml - 40

2879	Nhãn thùng	NDT2221	[Nhãn thùng] GC - IV - 2221 - Thiên Di - Ema 21 Gold (nước vàng trà) - 450ml - 40
	Creek 2.1EC	HH2221	GC - IV - 2221 - Thiên Di - Ema 21 Gold (nước vàng trà) - 450ml - 40

2880	Nhãn	NHD2228	[Nhãn] GC - II - 2228 - AGC - Gamma (nước đỏ) (chai PET vuông) - 450ml - 40	Creek 2.1EC	HH2228	GC - II - 2228 - AGC - Gamma (nước đỏ) (chai PET vuông) - 450ml - 40
2881	Nhãn thùng	NDT2228	[Nhãn thùng] GC - II - 2228 - AGC - Gamma (nước đỏ) (chai PET vuông) - 450ml - 40	Creek 2.1EC	HH2228	GC - II - 2228 - AGC - Gamma (nước đỏ) (chai PET vuông) - 450ml - 40
2882	Nhãn	NTN2229	[Nhãn] GC - IV - 2229 - Cty NANOTECH USA - MANCOZEB (bột xanh) - 1kg - 20	MANCOBGO 80WP	HH2229	GC - IV - 2229 - Cty NANOTECH USA - MANCOZEB (bột xanh) - 1kg - 20
2883	Nhãn thùng	NDT2229	[Nhãn thùng] GC - IV - 2229 - Cty NANOTECH USA - MANCOZEB (bột xanh) - 1kg - 20	MANCOBGO 80WP	HH2229	GC - IV - 2229 - Cty NANOTECH USA - MANCOZEB (bột xanh) - 1kg - 20
2884	Nhãn	NHG2230	[Nhãn]  GC - IV - 2230 - Cty Hóa Nông Shino - BIM SHINO (Nước cam sữa) - 500ml - 30	AMILAN 300SC	HH2230	GC - IV - 2230 - Cty Hóa Nông Shino - BIM SHINO (Nước cam sữa) - 500ml - 30
2885	Nhãn	NHG2231	[Nhãn] GC - IV - 2231 - Cty Sen Hồng (A.Diễn) - NANO 4.0 SIÊU CỨNG CÂY (Nước nâu đen) - 400ml - 30	Vi lượng Quantity New	HH2231	GC - IV - 2231 - Cty Sen Hồng (A.Diễn) - NANO 4.0 SIÊU CỨNG CÂY (Nước nâu đen) - 400ml - 30
2886	Nhãn	NHG2232	[Nhãn] GC - IV - 2232 - CTY USAFARM - ROOT 90 (Nước nâu đen) - 250ml - 40	Hữu cơ SH Agro Organic Fertilizer 20	HH2232	GC - IV - 2232 - CTY USAFARM - ROOT 90 (Nước nâu đen) - 250ml - 40
2887	Nhãn	NHD2233	[Nhãn] GC - IV - 2233 - Agritech - Bio Organic (Nước nâu đen) - 5L - 4	Vi lượng Quantity New	HH2233	GC - IV - 2233 - Agritech - Bio Organic (Nước nâu đen) - 5L - 4
2888	Nhãn thùng	NDT2233	[Nhãn thùng] GC - IV - 2233 - Agritech - Bio Organic (Nước nâu đen) - 5L - 4	Vi lượng Quantity New	HH2233	GC - IV - 2233 - Agritech - Bio Organic (Nước nâu đen) - 5L - 4
2889	Nhãn	NTN2234	[Nhãn] GC - IV - 2234 - CTY ITALY - MANCO XANH (bột xanh) - 1kg - 20	MANCOBGO 80WP	HH2234	GC - IV - 2234 - CTY ITALY - MANCO XANH (bột xanh) - 1kg - 20
2890	Nhãn thùng	NDT2234	[Nhãn thùng] GC - IV - 2234 - CTY ITALY - MANCO XANH (bột xanh) - 1kg - 20	MANCOBGO 80WP	HH2234	GC - IV - 2234 - CTY ITALY - MANCO XANH (bột xanh) - 1kg - 20
2891	Nhãn	NHG2235	[Nhãn] GC - IV - 2235 - CTY USAFARM - FUSEAMIN (Nước nâu đen) - 500ml - 40	Hữu cơ SH Agro Organic Fertilizer 20	HH2235	GC - IV - 2235 - CTY USAFARM - FUSEAMIN (Nước nâu đen) - 500ml - 40
2892	Nhãn	NHD2236	[Nhãn] BAMBOO - II - 2236 - Bamboo Double Stop (nước nâu đen) - 5L - 4	Vi lượng Quantity New	HH2236	BAMBOO - II - 2236 - Bamboo Double Stop (nước nâu đen) - 5L - 4
2893	Nhãn thùng	NDT2236	[Nhãn thùng] BAMBOO - II - 2236 - Bamboo Double Stop (nước nâu đen) - 5L - 4	Vi lượng Quantity New	HH2236	BAMBOO - II - 2236 - Bamboo Double Stop (nước nâu đen) - 5L - 4
